iter	Passed	Remaining
428	1617	2152
429	1620	2147
430	1623	2143
431	1626	2138
432	1629	2134
433	1632	2129
434	1636	2125
435	1639	2121
436	1643	2116
437	1646	2112
438	1649	2107
439	1652	2102
440	1655	2098
441	1658	2093
442	1661	2089
443	1664	2084
444	1667	2080
445	1670	2075
446	1674	2071
447	1677	2066
448	1680	2062
449	1683	2057
450	1686	2053
451	1689	2048
452	1692	2043
453	1695	2038
454	1698	2034
455	1702	2030
456	1705	2026
457	1708	2021
458	1711	2017
459	1714	2012
460	1717	2007
461	1720	2003
462	1723	1998
463	1726	1994
464	1729	1990
465	1732	1985
466	1736	1981
467	1739	1977
468	1742	1973
469	1746	1968
470	1749	1964
471	1752	1960
472	1755	1955
473	1758	1951
474	1761	1947
475	1764	1942
476	1768	1938
477	1771	1934
478	1775	1930
479	1778	1926
480	1782	1923
481	1785	1919
482	1789	1915
483	1792	1910
484	1795	1906
485	1799	1902
486	1802	1898
487	1805	1894
488	1809	1890
489	1812	1886
490	1815	1882
491	1818	1877
492	1821	1873
493	1824	1869
494	1828	1865
495	1831	1861
496	1834	1857
497	1838	1852
498	1841	1848
499	1844	1844
500	1847	1840
501	1851	1836
502	1854	1832
503	1857	1828
504	1860	1824
505	1864	1819
506	1867	1815
507	1870	1811
508	1873	1807
509	1876	1802
510	1879	1798
511	1882	1794
512	1885	1790
513	1888	1785
514	1891	1781
515	1894	1777
516	1898	1773
517	1901	1769
518	1904	1764
519	1907	1760
520	1910	1756
521	1913	1751
522	1916	1747
523	1919	1743
524	1922	1739
525	1925	1735
526	1928	1731
527	1931	1726
528	1934	1722
529	1938	1718
530	1941	1714
531	1944	1710
532	1947	1706
533	1951	1702
534	1954	1699
535	1958	1695
536	1962	1691
537	1965	1687
538	1969	1684
539	1973	1680
540	1976	1676
541	1979	1672
542	1982	1668
543	1985	1664
544	1989	1660
545	1992	1656
546	1995	1652
547	1998	1648
548	2002	1644
549	2005	1640
550	2008	1636
551	2011	1632
552	2014	1628
553	2017	1624
554	2021	1620
555	2024	1616
556	2027	1612
557	2030	1608
558	2033	1604
559	2036	1600
560	2039	1596
561	2043	1592
562	2046	1588
563	2049	1584
564	2052	1580
565	2055	1576
566	2058	1572
567	2061	1568
568	2064	1563
569	2067	1559
570	2071	1556
571	2074	1552
572	2077	1548
573	2080	1544
574	2083	1540
575	2087	1536
576	2090	1532
577	2093	1528
578	2096	1524
579	2099	1520
580	2102	1516
581	2105	1512
582	2108	1508
583	2111	1504
584	2115	1500
585	2118	1496
586	2121	1492
587	2124	1488
588	2128	1485
589	2131	1481
590	2134	1477
591	2137	1473
592	2140	1469
593	2144	1465
594	2147	1461
595	2151	1458
596	2154	1454
597	2157	1450
598	2161	1447
599	2164	1443
600	2167	1439
601	2170	1435
602	2174	1431
603	2177	1427
604	2180	1423
605	2183	1419
606	2187	1416
607	2190	1412
608	2194	1408
609	2197	1405
610	2200	1401
611	2204	1397
612	2207	1393
613	2210	1389
614	2213	1385
615	2216	1381
616	2220	1378
617	2223	1374
618	2226	1370
619	2229	1366
620	2232	1362
621	2235	1358
622	2238	1354
623	2241	1350
624	2244	1346
625	2247	1343
626	2250	1339
627	2254	1335
628	2257	1331
629	2260	1327
630	2263	1323
631	2266	1319
632	2269	1315
633	2272	1312
634	2275	1308
635	2278	1304
636	2282	1300
637	2285	1296
638	2288	1292
639	2291	1288
640	2295	1285
641	2298	1281
642	2301	1277
643	2305	1274
644	2309	1271
645	2313	1267
646	2317	1264
647	2321	1260
648	2324	1257
649	2327	1253
650	2330	1249
651	2333	1245
652	2337	1241
653	2340	1238
654	2343	1234
655	2346	1230
656	2349	1226
657	2352	1222
658	2356	1219
659	2359	1215
660	2362	1211
661	2365	1207
662	2368	1203
663	2372	1200
664	2375	1196
665	2379	1193
666	2382	1189
667	2385	1185
668	2388	1181
669	2392	1178
670	2395	1174
671	2398	1170
672	2401	1167
673	2405	1163
674	2408	1159
675	2411	1155
676	2414	1152
677	2418	1148
678	2421	1144
679	2424	1140
680	2427	1137
681	2430	1133
682	2433	1129
683	2437	1125
684	2440	1122
685	2443	1118
686	2446	1114
687	2450	1111
688	2453	1107
689	2456	1103
690	2459	1099
691	2462	1096
692	2465	1092
693	2469	1088
694	2472	1085
695	2475	1081
696	2479	1077
697	2483	1074
698	2486	1070
699	2490	1067
700	2495	1064
701	2498	1060
702	2501	1056
703	2504	1052
704	2508	1049
705	2511	1045
706	2514	1042
707	2517	1038
708	2520	1034
709	2523	1030
710	2527	1027
711	2530	1023
712	2533	1019
713	2536	1016
714	2539	1012
715	2543	1008
716	2546	1005
717	2549	1001
718	2552	997
719	2555	993
720	2558	990
721	2561	986
722	2564	982
723	2568	978
724	2571	975
725	2574	971
726	2577	967
727	2580	964
728	2584	960
729	2588	957
730	2591	953
731	2594	949
732	2597	946
733	2601	942
734	2604	939
735	2607	935
736	2610	931
737	2613	927
738	2617	924
739	2620	920
740	2624	917
741	2627	913
742	2631	910
743	2634	906
744	2638	902
745	2641	899
746	2644	895
747	2648	892
748	2652	888
749	2655	885
750	2659	881
751	2664	878
752	2668	875
753	2672	872
754	2676	868
755	2679	864
756	2683	861
757	2686	857
