,상품명,가격
67,금정산성 막걸리,"￦19,000(750ml*10병)(가격은 판매처 별로 상이할 수 있습니다.)"
68,금휘,"￦19,000(750ml*10병)(가격은 판매처 별로 상이할 수 있습니다.)"
69,기다림 16,"￦11,000 (가격은 판매처 별로 상이할 수 있습니다)"
70,기다림 25,"￦9,900 (가격은 판매처 별로 상이할 수 있습니다)"
71,기다림 34,"￦15,000 (가격은 판매처 별로 상이할 수 있습니다)"
72,기다림 맑은술,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)"
73,김포 막걸리,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
74,김포별주,"￦4,000(가격은 판매처 별로 상이할 수 있습니다.)"
75,김포약주 PET,"￦9,000(가격은 판매처 별로 상이할 수 있습니다.)"
76,김포예주 프리미엄,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
77,김포예주 프리미엄,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
78,김포특주,"￦3,000(가격은 판매처 별로 상이할 수 있습니다.)"
79,까메오 막걸리,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다.)"
80,사쿠라 와인,"58,000원 (판매처별로 가격이 다를 수 있습니다.)"
81,청산녹수 꿀막걸리,"￦18,000(750ml*12병 세트)(가격은 판매처 별로 상이할 수 있습니다.)"
82,꽃안꿀샘,"￦18,000(750ml*12병 세트)(가격은 판매처 별로 상이할 수 있습니다.)"
83,스위트 와인,"￦18,000(750ml*12병 세트)(가격은 판매처 별로 상이할 수 있습니다.)"
84,해창 생막걸리 6도,"￦3,000 (가격은 판매처 별로 상이할 수 있습니다.)"
85,남산애 레드와인,"￦45,000 (가격은 판매처 별로 상이할 수 있습니다)"
86,남산애 포트와인,"￦55,000 (가격은 판매처 별로 상이할 수 있습니다)"
87,광주남한산성소주,"￦55,000 (가격은 판매처 별로 상이할 수 있습니다)"
88,내장산 복분자주 지통1호,"￦18,000 (가격은 판매처 별로 상이할 수 있습니다.)"
89,해창 생막걸리 9도,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
90,홍천강 탁주,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다.)"
91,너와셰프 머루와인발효 식초음료,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다.)"
92,녹고의 눈물,"￦23,000(가격은 판매처 별로 상이할 수 있습니다.)"
93,녹천 소곡화주 480ml,"￦45,000(가격은 판매처 별로 상이할 수 있습니다.)"
94,녹천 소곡화주 500ml,"￦22,000(가격은 판매처 별로 상이할 수 있습니다.)"
95,녹파주,"￦35,000(가격은 판매처 별로 상이할 수 있습니다.)"
96,느낌 19.8,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다)"
97,느낌 30,"￦6,500 (가격은 판매처 별로 상이할 수 있습니다)"
98,느린마을 막걸리,"￦2,300 (가격은 판매처 별로 상이할 수 있습니다.)"
99,느린마을 막걸리,"￦2,300 (가격은 판매처 별로 상이할 수 있습니다.)"
100,느린마을양조장 청송양원,"￦2,300 (가격은 판매처 별로 상이할 수 있습니다.)"
101,진맥소주 22%,"￦22,000 (가격은 판매처 별로 상이할 수 있습니다)"
102,능이주,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)"
103,니모메,"￦36,000(375ml*3병)(가격은 판매처 별로 상이할 수 있습니다.)"
104,님그려 겨오든 잠에,"￦36,000(375ml*3병)(가격은 판매처 별로 상이할 수 있습니다.)"
105,다래와인 3004,"￦10,000(가격은 판매처 별로 상이할 수 있습니다.)"
106,다래와인 7004D,"￦28,000(가격은 판매처 별로 상이할 수 있습니다.)"
107,다래와인 7004S,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
108,다랭이팜 유자 막걸리,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)"
109,다랭이팜 유자 막걸리,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)"
110,전문용어,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)"
111,향양리,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)"
112,진주의 교통,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)"
113,담솔,"￦22,000 (가격은 판매처 별로 상이할 수 있습니다.)"
114,담양 죽력고,"￦13,000 (가격은 판매처 별로 상이할 수 있습니다)"
115,담은,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
