,전통주이름,상품명,가격
276,뱅꼬레 아이스와인,뱅꼬레 아이스와인,"￦90,000(가격은 판매처 별로 상이할 수 있습니다.)"
277,뱅꼬레 화이트와인,뱅꼬레 화이트와인,"￦23,000(가격은 판매처 별로 상이할 수 있습니다.)"
278,베리와인1168 스위트와인,호주 와인 생산자,"￦23,000(가격은 판매처 별로 상이할 수 있습니다.)"
279,베베마루 설레임 로제 스위트와인,베베마루 캠벨로제 스위트,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
280,베베마루 캠밸로제,베베마루 캠벨로제,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
281,베베마루 캠벨로제 스위트,베베마루 캠벨로제 스위트,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
282,별바랑,별바랑,"￦27,000 (가격은 판매처 별로 상이할 수 있습니다)"
283,별산막걸리,,
284,별산오디 스파클링 막걸리,,
285,병영설성 동동주,병영설성 동동주,"￦2,500 (가격은 판매처 별로 상이할 수 있습니다)"
286,병영설성 생막걸리,병영설성 생막걸리,"￦3,500 (가격은 판매처 별로 상이할 수 있습니다)"
287,병영설성사또,병영설성사또,"￦40,000 (가격은 판매처 별로 상이할 수 있습니다)"
288,병영소주,병영소주,"￦25,000 (가격은 판매처별로 상이할 수 있습니다.)"
289,보리수헤는밤,술헤는밤,"￦5,900 (가격은 판매처 별로 상이할 수 있습니다)"
290,보성 강하주,,
291,복단지,,
292,복단지 350,,
293,복분자아락40,복분자 아락,"￦40,000(가격은 판매처 별로 상이할 수 있습니다.)"
294,복분자음,복분자음,"￦6,000(가격은 판매처 별로 상이할 수 있습니다.)"
295,복분자주 360,복분자주 360,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
296,복순도가 손막걸리,복순도가 손막걸리,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
297,복순도가 약주,,
298,복순도가 탁주,복순도가 손 막걸리,"￦12,000 (가격은 판매처 별로 상이할 수 있습니다.)"
299,복숭아와인,복숭아와인,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
300,볼빨간막걸리 10,볼빨간막걸리 10,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다)"
301,볼빨간막걸리 7,볼빨간막걸리 7,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다)"
302,볼빨간미자,,
303,봇뜰 막걸리 10도,부자 10도,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다)"
304,봉하쌀 생막걸리,봉하쌀 생막걸리,"￦2,000 (가격은 판매처 별로 상이할 수 있습니다)"
305,부안참뽕막걸리,부안 참뽕 막걸리,"￦2,000(가격은 판매처 별로 상이할 수 있습니다.)"
306,부안참뽕와인,부안 참뽕 와인,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
307,부자,부자,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
308,부자 송산포도,,
309,부자진 배치#0001,주평역,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
310,부자진 오미자 진,오미자,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
311,북극곰 막걸리,,
312,불로생우리쌀막걸리,우리술 우리쌀 막걸리,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
313,불소곡주,불소곡주,"￦30,000(가격은 판매처 별로 상이할 수 있습니다.)"
314,붉은 원숭이,붉은 원숭이,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다.)"
315,블루베리 이야기,블루베리 이야기,"￦6,000(가격은 판매처 별로 상이할 수 있습니다.)"
316,빙탄복,복분자음,"￦6,000(가격은 판매처 별로 상이할 수 있습니다.)"
317,빨간쌀막걸리,볼빨간막걸리 7,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다)"
318,사과와인,사과와인,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
319,사미인주,사미인주,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
320,사시통음주,사시통음주,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
321,사십오도,온도와 온도계,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
322,사임주,,
323,산내울 복분자주,산내울 복분자주,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
324,산내울 사과애주,산내울 사과애주,"￦14,000 (가격은 판매처 별로 상이할 수 있습니다)"
325,산내울 오미자주,산내울 오미자주,"￦20,000(가격은 판매처 별로 상이할 수 있습니다)"
326,산막 생유 막걸리,산막 생유 막걸리,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
327,산막생대덕주,,
328,산막와이너리 증류주 환희,,
329,산머루 크라테 드라이,크라테 레드와인 드라이,"￦48,000 (가격은 판매처 별로 상이할 수 있습니다)"
330,산머루 크라테 로제,크라테 로제와인,"￦18,000 (가격은 판매처 별로 상이할 수 있습니다)"
331,산머루 크라테 스위트,크라테 레드와인 스위트,"￦48,000 (가격은 판매처 별로 상이할 수 있습니다)"
332,산머루와인 깊은맛 드라이,컨츄리 산머루 와인 (드라이),"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)"
333,산머루와인 달콤한 스위트,컨츄리 산머루 와인 (스위트),"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)"
334,산삼가득 명술,명술 375ml,"￦30,000(가격은 판매처 별로 상이할 수 있습니다.)"
335,산정호수 동정춘막걸리,산정호수 동정춘막걸리,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
336,산천어막걸리,강원 지역 술,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
337,삼선,삼선,"￦15,000 (가격은 판매처 별로 상이할 수 있습니다)"
338,삼양춘 생약주,삼양춘 생약주,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
339,삼양춘 생탁주,삼양춘 생탁주,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)"
340,삼양춘 스파클링,,
341,삼양춘 청주,삼양춘 청주,"￦16,800 (가격은 판매처 별로 상이할 수 있습니다)"
342,삼해소주,삼해소주가,"￦16,800 (가격은 판매처 별로 상이할 수 있습니다)"
343,새송이 쌀막걸리 정,여수 쌀막걸리 '정',"￦16,800 (가격은 판매처 별로 상이할 수 있습니다)"
344,생 청주 막걸리,생 청주 막걸리,"￦1,500 (가격은 판매처 별로 상이할 수 있습니다.)"
345,생탁주,창원 생탁주,"￦1,500 (가격은 판매처 별로 상이할 수 있습니다.)"
346,샤토미소 랑,샤토미소 랑,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
347,샤토미소 레드 드라이,샤토미소 레드 프리미엄 드라이,"￦40,000 (가격은 판매처 별로 상이할 수 있습니다)"
348,샤토미소 레드 스위트,샤토미소 스위트,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)"
349,샤토미소 로제스위트와인,충청 · 대전 지역 술,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)"
350,샤토미소 아이스와인,미소 아이스,"￦40,000 (가격은 판매처 별로 상이할 수 있습니다.)"
351,샤토미소 영동,샤토미소 영동,"￦30,000 (가격은 판매처 별로 상이할 수 있습니다)"
352,샤토미소 웨딩 자두와인,도란원 샤토미소,"￦30,000 (가격은 판매처 별로 상이할 수 있습니다)"
353,샹스프랑보아즈,샹스프랑보아즈,"￦150,000(500ml*10병)(가격은 판매처 별로 상이할 수 있습니다)"
354,서설,「서설」,"￦150,000(500ml*10병)(가격은 판매처 별로 상이할 수 있습니다)"
355,서울의 밤,서울의 밤,"￦7,500(가격은 판매처 별로 상이할 수 있습니다.)"
356,서주 16%,서주 16%,"￦45,000(400ml*2병)(가격은 판매처 별로 상이할 수 있습니다)"
357,석로주,석로주,"￦34,000(가격은 판매처 별로 상이할 수 있습니다.)"
358,석탄주 약주,석탄주 약주,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다)"
359,석탄주 탁주,석탄주 탁주,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)"
360,선비 보드카,,
361,선비 진,,
362,선운산 복분자와인,선운산 복분자와인,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)"
363,선운산 복분자주,선운산 복분자주,"￦25,000(375ml*4병 세트)(가격은 판매처 별로 상이할 수 있습니다)"
364,선운산 복분자주 프리미엄,선운산 복분자주 프리미엄,"￦40,000 (가격은 판매처 별로 상이할 수 있습니다)"
365,선운산의 아침 복분자 막걸리,선운산의 아침 복분자막걸리,"￦28,000(500ml*12병)(가격은 판매처 별로 상이할 수 있습니다.)"
366,선호 생막걸리,선호 생막걸리,"￦1,700(가격은 판매처 별로 상이할 수 있습니다.)"
367,설궁,설궁,가격은 판매처 별로 상이할 수 있습니다.
368,설련주,설련주,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)"
369,설성 만월 막걸리,설성 만월 막걸리,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)"
370,설하담,설하담,"￦7,400(950ml), 
                                        ￦3,900(475ml)(가격은 판매처 별로 상이할 수 있습니다)"
371,성읍민속마을 오메기술,,
372,성포 생막걸리,성포 생막걸리,"￦1,100 (가격은 판매처 별로 상이할 수 있습니다)"
373,세오녀탁주,,
374,세우리,세우리,"￦250,000(가격은 판매처 별로 상이할 수 있습니다.)"
375,세인트하우스 모과와인,해미읍성 모과와인,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
376,세인트하우스 살구와인,해미읍성 살구와인,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
377,세종 쌀막걸리,세종 쌀 막걸리,"￦1,500 (가격은 판매처 별로 상이할 수 있습니다.)"
378,세종 알밤주,세종 알밤주,"￦1,500 (가격은 판매처 별로 상이할 수 있습니다.)"
379,세종 오가닉,세종 오가닉,"￦9,000 (가격은 판매처 별로 상이할 수 있습니다.)"
380,세종대왕어주 약주,세종대왕어주 약주,"￦25,900 (가격은 판매처 별로 상이할 수 있습니다)"
381,세종대왕어주 탁주,세종대왕어주 탁주,"￦16,900 (가격은 판매처 별로 상이할 수 있습니다)"
382,세종청주생막걸리,세종생막걸리,"￦16,900 (가격은 판매처 별로 상이할 수 있습니다)"
383,소계리 595 스위트 레드와인,포엠 레드 스위트와인,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)"
384,소나무와 학,소나무와 학,"￦39,000(가격은 판매처 별로 상이할 수 있습니다.)"
385,소백산(샤토소백) 스위트 레드와인,샤토미소 로제 스위트,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)"
386,소양강 생 막걸리,소양강 생 막걸리,"￦1,200 / ￦1,800 (가격은 판매처 별로 상이할 수 있습니다.)"
387,소여강,소여강,"￦1,200 / ￦1,800 (가격은 판매처 별로 상이할 수 있습니다.)"
388,소여강 25%,,
389,소호,소호,"￦1,200 / ￦1,800 (가격은 판매처 별로 상이할 수 있습니다.)"
390,손가네 태종대 개똥쑥생막걸리,,
391,솔송주,솔송주,"￦1,200 / ￦1,800 (가격은 판매처 별로 상이할 수 있습니다.)"
392,송로주,보은송로주,"￦1,200 / ￦1,800 (가격은 판매처 별로 상이할 수 있습니다.)"
393,송명섭 막걸리,송명섭 막걸리,"￦3,000(가격은 판매처 별로 상이할 수 있습니다.)"
394,송이주,송이주,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)"
395,송화백일주,송화백일주,"￦45,000 (가격은 판매처 별로 상이할 수 있습니다)"
396,수삼단본 720,충청 · 대전 지역 술,"￦45,000 (가격은 판매처 별로 상이할 수 있습니다)"
397,수성 프리미엄 백주43,,
398,순향주,순향주,"￦56,000(375ml*3병)(가격은 판매처 별로 상이할 수 있습니다)"
399,술공방 9.0 막걸리,술공방 9.0 생막걸리,"500ml ￦5,000 (가격은 판매처 별로 상이할 수 있습니다)"
400,술그리다 생탁주,술그리다 생탁주,"￦9,000(가격은 판매처 별로 상이할 수 있습니다.)"
401,술샘16,황상의 아버지 황인담에 대한 만사,"￦9,000(가격은 판매처 별로 상이할 수 있습니다.)"
402,술샘19,젊은달 와이파크,"￦9,000(가격은 판매처 별로 상이할 수 있습니다.)"
403,술아 국화주,국화주,"￦9,000(가격은 판매처 별로 상이할 수 있습니다.)"
404,술아 매화주,술아 국화주,"￦36,000(375ml*2병)(가격은 판매처 별로 상이할 수 있습니다.)"
405,술아 순곡주,술아 순곡주,"￦36,000(375ml*2병)(가격은 판매처 별로 상이할 수 있습니다.)"
406,술아 연화주,술아 국화주,"￦36,000(375ml*2병)(가격은 판매처 별로 상이할 수 있습니다.)"
407,술아 핸드메이드 막걸리,술아 막걸리,"￦21,000(450ml*3병)(가격은 판매처 별로 상이할 수 있습니다.)"
408,술예쁘다 생탁주,술예쁘다 생탁주,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
409,술취한 원숭이,술취한 원숭이,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다.)"
410,술헤는밤,술헤는밤,"￦5,900 (가격은 판매처 별로 상이할 수 있습니다)"
411,스타베리오디,스타베리 오디와인,"￦28,000(가격은 판매처 별로 상이할 수 있습니다.)"
412,스파클링와인,스파클링 와인,"￦28,000(가격은 판매처 별로 상이할 수 있습니다.)"
413,스파클링와인 오미로제 결,오미로제 스파클링와인,"￦28,000(가격은 판매처 별로 상이할 수 있습니다.)"
414,시나브로 드 글로리아,시나브로 드 글로리아,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)"
415,시나브로 레드 드라이,시나브로 레드 드라이,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)"
416,시나브로 레드 스위트,시나브로 레드 드라이,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)"
417,시나브로 로제와인,시나브로 로제와인,"￦30,000 (가격은 판매처 별로 상이할 수 있습니다)"
418,시나브로 에뚜왈 로제 스파클링,시나브로 에뚜왈 로제 스파클링,"￦30,000 (가격은 판매처 별로 상이할 수 있습니다)"
419,시나브로 에뚜왈 화이트 스파클링와인,시나브로 에뚜왈 스파클링와인,"￦30,000 (가격은 판매처 별로 상이할 수 있습니다)"
420,시나브로 청수 화이트,시나브로 화이트와인,"￦30,000 (가격은 판매처 별로 상이할 수 있습니다)"
421,시인의마을,시인의 마을,"￦30,000 (가격은 판매처 별로 상이할 수 있습니다)"
422,시향가,"어문, 도서현황","￦30,000 (가격은 판매처 별로 상이할 수 있습니다)"
423,시향가 미니캔막걸리,,
424,신례명주,신례명주,"￦99,000 (가격은 판매처 별로 상이할 수 있습니다)"
425,신선주,신선주,"￦19,000(가격은 판매처 별로 상이할 수 있습니다.)"
426,신애유자,,
427,심술 10,대탄 큰바위의 심술,"￦19,000(가격은 판매처 별로 상이할 수 있습니다.)"
428,심술 7,,
429,심술 알쓰,,
430,심술6 막걸리,나루 생막걸리 6%,"￦19,000(가격은 판매처 별로 상이할 수 있습니다.)"
431,씨(C) 그린막걸리,인테그린,"￦19,000(가격은 판매처 별로 상이할 수 있습니다.)"
432,씨(C) 막걸리 시그니처 큐베,태국 드럭스토어 & 마트 쇼핑,"￦19,000(가격은 판매처 별로 상이할 수 있습니다.)"
433,씨(C) 옐로막걸리,,
434,아띠,Ahtty,"￦19,000(가격은 판매처 별로 상이할 수 있습니다.)"
435,아리아리,,
436,아우내,아우내단오절민속축제,"￦19,000(가격은 판매처 별로 상이할 수 있습니다.)"
437,아이스 375,아이스 카페모카(R),"￦19,000(가격은 판매처 별로 상이할 수 있습니다.)"
438,아이싱 자몽,아이싱 자몽,"CAN ￦1,300, 
                                        BOTTLE ￦5,000(가격은 판매처 별로 상이할 수 있습니다)"
439,아이엠더문,,
440,아이원 막걸리,아이원 막걸리,"￦1,000(가격은 판매처 별로 상이할 수 있습니다.)"
441,아임프리,아임더 닥터 프리바이오틱스 정,"￦1,000(가격은 판매처 별로 상이할 수 있습니다.)"
442,아임프리6.0,아임더 닥터 프리바이오틱스 정,"￦1,000(가격은 판매처 별로 상이할 수 있습니다.)"
443,아황주,아황주,"￦23,000(가격은 판매처 별로 상이할 수 있습니다.)"
444,악양생막걸리,,
445,안동소주 일품 17도,안동소주 일품 17도,"￦12,000(350ml*3병)(가격은 판매처 별로 상이할 수 있습니다.)"
446,안동소주 일품 21도,안동소주 일품 21도,"￦13,500(350ml*3병)(가격은 판매처 별로 상이할 수 있습니다.)"
447,안동소주 일품 40도 골드,안동소주 일품 40도 골드,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
448,안성맞춤 생막걸리,,
449,안양동동주,안양 동동주,"￦1,100 (가격은 판매처 별로 상이할 수 있습니다)"
450,애석,애석,"￦30,000 (가격은 판매처 별로 상이할 수 있습니다)"
451,애피소드 상그리아,애피소드 호프,"￦21,000(500ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)"
452,애피소드 애플,애피소드 애플,"￦21,000(500ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)"
453,애피소드호프,애피소드 호프,"￦21,000(500ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)"
454,야관문 쌀 막걸리,야관문 쌀 막걸리,"￦1,500(가격은 판매처 별로 상이할 수 있습니다.)"
455,양조학당 뜰,,
456,양지백주,과하백주,"￦1,500(가격은 판매처 별로 상이할 수 있습니다.)"
457,양촌 생 동동주,양촌 생 동동주,"￦36,000원 1박스 15개입 (가격은 판매처 별로 상이할 수 있습니다.)"
458,양촌 생 막걸리,양촌 생 막걸리,"￦30,000원 1박스 20개입 (가격은 판매처 별로 상이할 수 있습니다.)"
459,양촌 우렁이쌀 청주,우렁이쌀 손 막걸리,"￦39,000원 1박스 15개입 (가격은 판매처 별로 상이할 수 있습니다.)"
460,어우야,어우야,"￦9,900 (가격은 판매처 별로 상이할 수 있습니다)"
461,얼떨결에,얼떨결에 엉겁결에,"￦9,900 (가격은 판매처 별로 상이할 수 있습니다)"
462,엄청주,,
463,에델 미디움 스위트와인,파미유카스텔미디움 스위트그르나쉬시라 ,가격정보없음 (판매처별로 가격이 다를 수 있습니다.)
464,에델 스위트와인,전문용어,가격정보없음 (판매처별로 가격이 다를 수 있습니다.)
465,여민락주,,
466,여포의 꿈 (화이트),여포의 꿈 (화이트),"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)"
467,여포의 꿈 레드(Dry),여포의 꿈 레드 (Dry),"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)"
468,여포의 꿈 레드(SWEET),여포의 꿈 레드(SWEET),-
469,역전주,,
470,연오랑탁주,,
471,연천 아주,연천 아주,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)"
472,연천 연주,연천 연주,"￦15,000 (가격은 판매처 별로 상이할 수 있습니다)"
473,연천 우주,연천 우주,"￦8,500 (가격은 판매처 별로 상이할 수 있습니다)"
474,영일만친구 막걸리,영일만친구,"￦8,500 (가격은 판매처 별로 상이할 수 있습니다)"
475,영탁막걸리,,
476,예담은 한산소곡주,예담은 한산소곡주,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)"
477,예밀와인 레드 드라이,예밀와인 레드 드라이,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
478,예밀와인 레드 스위트,예밀와인 레드 스위트,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
479,예밀와인 로제,예밀와인 로제,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
480,예술주조 `무작`,,
481,예주,예주,"￦29,000(가격은 판매처 별로 상이할 수 있습니다.)"
482,예천주 사월24,예천주 사월24,"￦22,000 (가격은 판매처 별로 상이할 수 있습니다)"
483,예천주 사월365,예천주 사월365,"￦29,000 (가격은 판매처 별로 상이할 수 있습니다)"
484,예천주복 만월24,예천주복 만월24,"￦12,800 (가격은 판매처 별로 상이할 수 있습니다)"
485,예천주복 만월40,예천주복 만월40,"￦19,200 (가격은 판매처 별로 상이할 수 있습니다)"
486,예화,예화,"￦10,000(가격은 판매처 별로 상이할 수 있습니다.)"
487,옛날막걸리 古,옛날 막걸리 古,"￦2,700원(※ 가격은 판매처 별로 상이할 수 있습니다)"
488,오 마이 갓,,
489,오가피와인,오가피와인,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
490,오계리 아이스와인,,
491,오곡 진상주,오곡 진상주,-
492,오드린 베베마루 아내를 위한,,
493,오디랑,오디랑,"￦4,000(가격은 판매처 별로 상이할 수 있습니다)"
494,오디아락40,고구마 아락,"￦25,000(가격은 판매처 별로 상이할 수 있습니다.)"
495,오디여라,울진의 언어,"￦25,000(가격은 판매처 별로 상이할 수 있습니다.)"
496,오매락,오매락퍽,"￦52,000(가격은 판매처 별로 상이할 수 있습니다.)"
497,오매락퍽,오매락퍽,"￦52,000(가격은 판매처 별로 상이할 수 있습니다.)"
498,오매백주,오매백주,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다)"
499,오메기 맑은술,오메기 맑은술,"￦25,000(가격은 판매처 별로 상이할 수 있습니다.)"
500,오메기술,오메기 술,"￦13,000 (가격은 판매처 별로 상이할 수 있습니다.)"
501,오목대,오목대,"￦27,000(1000ml*3병)(가격은 판매처 별로 상이할 수 있습니다)"
502,오미로제 스파클링 와인,오미로제 스파클링와인,"￦27,000(1000ml*3병)(가격은 판매처 별로 상이할 수 있습니다)"
503,오미로제 연,오미로제 연,"50,000원 (판매처별로 가격이 다를 수 있습니다.)"
504,오미로제 프리미어와인,오미로제 프리미어와인,"￦39,000(가격은 판매처 별로 상이할 수 있습니다.)"
505,오미시앙 스페셜,오미시앙 스페셜,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다.)"
506,오미자 생막걸리,오미자 생막걸리,"￦2,500 (가격은 판매처 별로 상이할 수 있습니다.)"
507,오산막걸리,오산막걸리,"￦3,000 (가격은 판매처 별로 상이할 수 있습니다)"
508,오크와인,오크,"￦3,000 (가격은 판매처 별로 상이할 수 있습니다)"
509,오희 스파클링 막걸리,오희 스파클링 막걸리,"￦36,000(500ml*2병)(가격은 판매처 별로 상이할 수 있습니다.)"
510,왕매실 막걸리,당진막걸리,"￦36,000(500ml*2병)(가격은 판매처 별로 상이할 수 있습니다.)"
511,왕율주,왕율주,"￦8,000(가격은 판매처 별로 상이할 수 있습니다.)"
512,왕피천을 품은 미소생막걸리,왕피천을 품은 미소생막걸리,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
513,요새로제,,
514,우곡생주,우곡생주,"￦6,500 (가격은 판매처 별로 상이할 수 있습니다)"
515,우곡주,부자 우곡주,"￦6,500 (가격은 판매처 별로 상이할 수 있습니다)"
516,우도 땅콩 전통주,우도 땅콩 전통주,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)"
517,우도땅콩전통주,우도 땅콩 전통주,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)"
518,우렁이쌀 손 막걸리,우렁이쌀 손 막걸리,"￦39,000원 1박스 15개입 (가격은 판매처 별로 상이할 수 있습니다.)"
519,우렁이쌀 손막걸리 DRY,우렁이쌀 손 막걸리,"￦39,000원 1박스 15개입 (가격은 판매처 별로 상이할 수 있습니다.)"
520,우리밀 막걸리 향수,향수 우리밀 막걸리,"￦7,900(가격은 판매처 별로 상이할 수 있습니다.)"
521,울금생막걸리 정,경상 · 대구 · 부산 · 울산 지역 술 ,"￦7,900(가격은 판매처 별로 상이할 수 있습니다.)"
522,원매,원매,"￦7,900(가격은 판매처 별로 상이할 수 있습니다.)"
523,원매,원매,"￦7,900(가격은 판매처 별로 상이할 수 있습니다.)"
524,원매 프리미엄,원매 프리미엄,"￦45,000(가격은 판매처 별로 상이할 수 있습니다.)"
525,원매 프리미엄,원매 프리미엄,"￦45,000(가격은 판매처 별로 상이할 수 있습니다.)"
526,원조소곡주,원조 한산소곡주,"￦12,000 (가격은 판매처 별로 상이할 수 있습니다)"
527,월매 쌀막걸리(캔),월매 쌀막걸리,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
528,위 (we)레드 (2018)와인,"아메리칸 빈티지, 레드와인 2018 ",가격정보없음 (판매처별로 가격이 다를 수 있습니다.)
529,유기농 이도 32,유기농 이도14,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
530,유기농 이도 42,유기농 이도 42,"￦42,000 (가격은 판매처 별로 상이할 수 있습니다.)"
531,유기농이도 14,유기농 이도14,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
532,유자향주,고흥 유자밭과 소록도,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
533,육십일도,윤계연의 형수 유인 신씨의 육십일 세를 축하하는 서 ,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
534,율무 동동주,율무 동동주,"￦14,000 (가격은 판매처 별로 상이할 수 있습니다)"
535,은자골 생 탁배기,은자골 생 탁배기,"￦1,500 (가격은 판매처 별로 상이할 수 있습니다.)"
536,의림소주,,
537,이담,이담,"￦1,500 (가격은 판매처 별로 상이할 수 있습니다.)"
538,이도 22,,
539,이동 생 쌀 막걸리,이동 생 쌀 막걸리,"￦1,300 (가격은 판매처 별로 상이할 수 있습니다.)"
540,이상헌 소주,이상헌 탁주,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)"
541,이상헌 약주,이상헌 약주,"￦45,000 (가격은 판매처 별로 상이할 수 있습니다)"
542,이천쌀생막걸리,세종 생막걸리,"￦45,000 (가격은 판매처 별로 상이할 수 있습니다)"
543,이화백주 순탁주,이화백주,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)"
544,이화주,이화주,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)"
545,인사이더 블루베리,수원에서 완성한 #닭스타그램,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)"
546,인생막걸리,배꽃담은 연 생막걸리,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
547,인어교주해적술,,
548,인천 생 소성주,인천 생 소성주,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다.)"
549,일엽편주,일엽편주,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다.)"
550,일엽편주,일엽편주,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다.)"
551,일엽편주,일엽편주,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다.)"
552,일지춘,봄을 알리는 매화,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다.)"
553,입술,입술,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다.)"
554,입장탁주,입장탁주,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
555,자두와인,자두와인,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
556,자연담은 복분자막걸리,자연담은 복분자막걸리,"￦56,000(360ml*20병)(가격은 판매처 별로 상이할 수 있습니다.)"
557,자연송이주,자연송이주,가격은 판매처 별로 상이할 수 있습니다.
558,자희향,자희향,"￦16,000 (가격은 판매처 별로 상이할 수 있습니다.)"
559,자희향 국화주,자희향 국화주,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)"
560,자희향 나비,자희향 나비,"￦8,000 (가격은 판매처 별로 상이할 수 있습니다.)"
561,장수 생막걸리,장수 생 막걸리,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
562,장수 오미자주,장수 오미자주,"￦5,400 (가격은 판매처 별로 상이할 수 있습니다)"
563,장수홍삼주,,
564,장홍삼 장수 막걸리,장홍삼 장수 막걸리,"￦2,000(가격은 판매처 별로 상이할 수 있습니다.)"
565,정감생막걸리,,
566,정고집 나주배 약주 15%,정고집 나주배 약주 15%,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
567,정고집 나주배 약주 9%,정고집 나주배 약주 9%,"￦18,000 (가격은 판매처 별로 상이할 수 있습니다)"
568,제주감귤주 귤로만,제주 도련동 귤나무류,"￦18,000 (가격은 판매처 별로 상이할 수 있습니다)"
569,제주낭만,"낭만 제주에 가을 감성 더하기, 제주 책방 여행 ","￦18,000 (가격은 판매처 별로 상이할 수 있습니다)"
