,전통주이름,상품명,가격
61,국순당 생막걸리 대박,국순당 생막걸리,"￦1,500 (가격은 판매처별로 상이할 수 있습니다.)"
62,국순당 이화주,이화주 요구르트 칵테일,"￦1,500 (가격은 판매처별로 상이할 수 있습니다.)"
63,귀감,귀감,"￦1,500 (가격은 판매처별로 상이할 수 있습니다.)"
64,그랑꼬또 M56,그랑꼬또 M56,"￦21,000(가격은 판매처 별로 상이할 수 있습니다.)"
65,그랑꼬또 레드와인,그랑꼬또 레드와인,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)"
66,그랑꼬또 로제와인,그랑꼬또 로제와인,"￦21,000(가격은 판매처 별로 상이할 수 있습니다.)"
67,그랑꼬또 청수,그랑꼬또 청수,"￦60,000(가격은 판매처 별로 상이할 수 있습니다.)"
68,그랑티그르 CE2002,그랑티그르CE2002,"￦40,000 (가격은 판매처 별로 상이할 수 있습니다)"
69,그랑티그르 M1988,그랑티그르M1988,"￦40,000 (가격은 판매처 별로 상이할 수 있습니다)"
70,그리움,그리움,"￦40,000 (가격은 판매처 별로 상이할 수 있습니다)"
71,금과 명주,금과의 대외관계와 바다,"￦40,000 (가격은 판매처 별로 상이할 수 있습니다)"
72,금산인삼백주,금산 인삼백주,"￦40,000 (가격은 판매처 별로 상이할 수 있습니다)"
73,금산인삼주 12.5%,금산인삼주,"￦12,000(375ml*3병)(가격은 판매처 별로 상이할 수 있습니다.)"
74,금산인삼주 수삼 500,금산인삼주 수삼단본 720ml 23도 ,"￦32,000(가격은 판매처 별로 상이할 수 있습니다.)"
75,금설,금설,"￦32,000(가격은 판매처 별로 상이할 수 있습니다.)"
76,금정산성막걸리,금정산성 막걸리,"￦19,000(750ml*10병)(가격은 판매처 별로 상이할 수 있습니다.)"
77,금풍양조,,
78,금휘,금휘,"￦19,000(750ml*10병)(가격은 판매처 별로 상이할 수 있습니다.)"
79,기다림 16,기다림 16,"￦11,000 (가격은 판매처 별로 상이할 수 있습니다)"
80,기다림 25,기다림 25,"￦9,900 (가격은 판매처 별로 상이할 수 있습니다)"
81,기다림 34,기다림 34,"￦15,000 (가격은 판매처 별로 상이할 수 있습니다)"
82,기다림 맑은술,기다림 맑은술,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)"
83,김수한무,,
84,김포 막걸리,김포 막걸리,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
85,김포별주,김포별주,"￦4,000(가격은 판매처 별로 상이할 수 있습니다.)"
86,김포약주,김포약주 PET,"￦9,000(가격은 판매처 별로 상이할 수 있습니다.)"
87,김포예주,김포예주 프리미엄,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
88,김포예주 프리미엄,김포예주 프리미엄,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
89,김포특주,김포특주,"￦3,000(가격은 판매처 별로 상이할 수 있습니다.)"
90,까메오 막걸리,까메오 막걸리,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다.)"
91,꽃 와인,사쿠라 와인,"58,000원 (판매처별로 가격이 다를 수 있습니다.)"
92,꿀막걸리,청산녹수 꿀막걸리,"￦18,000(750ml*12병 세트)(가격은 판매처 별로 상이할 수 있습니다.)"
93,꿀샘 16,꽃안꿀샘,"￦18,000(750ml*12병 세트)(가격은 판매처 별로 상이할 수 있습니다.)"
94,끌로너와 스위트와인,스위트 와인,"￦18,000(750ml*12병 세트)(가격은 판매처 별로 상이할 수 있습니다.)"
95,나 와인,,
96,나루 생 막걸리 11.5도,,
97,나루 생 막걸리 6도,해창 생막걸리 6도,"￦3,000 (가격은 판매처 별로 상이할 수 있습니다.)"
98,남산애 레드와인,남산애 레드와인,"￦45,000 (가격은 판매처 별로 상이할 수 있습니다)"
99,남산애 포트와인,남산애 포트와인,"￦55,000 (가격은 판매처 별로 상이할 수 있습니다)"
100,남한산성소주,광주남한산성소주,"￦55,000 (가격은 판매처 별로 상이할 수 있습니다)"
101,내장산 복분자주 지통1호,내장산 복분자주 지통1호,"￦18,000 (가격은 판매처 별로 상이할 수 있습니다.)"
102,냥이탁주 9도,해창 생막걸리 9도,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
103,냥이탁주 fresh,홍천강 탁주,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다.)"
104,너와머루와인,너와셰프 머루와인발효 식초음료,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다.)"
105,노미,,
